형태소,품사,분류,카운트,상대빈도,시각화용,,,
Delicious,Alpha,교촌 전,2,0.00143%,Delicious Delicious ,,,
Delphi,Alpha,교촌 전,1,0.00143%,Delphi ,,,
Dkdb,Alpha,교촌 전,1,0.00143%,Dkdb ,,,
Do,Alpha,교촌 전,1,0.00143%,Do ,,,
Do,Alpha,교촌 전,1,0.00143%,Do ,,,
Documentary,Alpha,교촌 전,1,0.00143%,Documentary ,,,
Doh,Alpha,교촌 전,1,0.00143%,Doh ,,,
Don,Alpha,교촌 전,1,0.00143%,Don ,,,
Dong,Alpha,교촌 전,1,0.00143%,Dong ,,,
DongHoon,Alpha,교촌 전,1,0.00143%,DongHoon ,,,
Drama,Alpha,교촌 전,1,0.00143%,Drama ,,,
Dream,Alpha,교촌 전,1,0.00143%,Dream ,,,
Duke,Alpha,교촌 전,1,0.00143%,Duke ,,,
Dunn,Alpha,교촌 전,1,0.00143%,Dunn ,,,
Dylan,Alpha,교촌 전,1,0.00143%,Dylan ,,,
Dzxc,Alpha,교촌 전,1,0.00143%,Dzxc ,,,
E,Alpha,교촌 전,1,0.00143%,E ,,,
E,Alpha,교촌 전,1,0.00143%,E ,,,
EASY,Alpha,교촌 전,1,0.00143%,EASY ,,,
EE,Alpha,교촌 전,1,0.00143%,EE ,,,
EP,Alpha,교촌 전,1,0.00143%,EP ,,,
EP,Alpha,교촌 전,1,0.00143%,EP ,,,
ER,Alpha,교촌 전,1,0.00143%,ER ,,,
ERAS,Alpha,교촌 전,1,0.00143%,ERAS ,,,
EUN,Alpha,교촌 전,1,0.00143%,EUN ,,,
EX,Alpha,교촌 전,1,0.00143%,EX ,,,
Ed,Alpha,교촌 전,1,0.00143%,Ed ,,,
Edgar,Alpha,교촌 전,1,0.00143%,Edgar ,,,
Ee,Alpha,교촌 전,1,0.00143%,Ee ,,,
Eee,Alpha,교촌 전,1,0.00143%,Eee ,,,
Elice,Alpha,교촌 전,1,0.00143%,Elice ,,,
En,Alpha,교촌 전,1,0.00143%,En ,,,
Enter,Alpha,교촌 전,1,0.00143%,Enter ,,,
Ep,Alpha,교촌 전,1,0.00143%,Ep ,,,
Errorcode,Alpha,교촌 전,1,0.00143%,Errorcode ,,,
