,comment
0,"SKIP NAVIGATION
SIGN IN
DJI New Release
dji.com
Learn more
Ad 1 of 2 ·
0:39
dji.com
Skip Ads

논란의 'BBQ 황금올리브 순살' 시켰는데 저도 사기당했습니다..
217,889 views•Jul 14, 2019
2.5K
489
SHARE
SAVE
앙 작비띠
454K subscribers
JOIN
SUBSCRIBE
광고문의 및 출연 섭외 문의는 : jakb51@naver.com
인스타 팔로우하시면 맞팔 ! : jak_b_


----------------------------------------­­-----------
COPYRIGHT ⓒ 2019 JAKB ALL RIGHTS RESERVED.
----------------------------------------­­-----------
SHOW MORE
DJI New Release
Ad
dji.com
LEARN MORE
Up next
AUTOPLAY
We Negotiated with a Chicken Company [Nego King] Ep.1
달라스튜디오
7.6M views
3 months ago
How I became obssessed with weight of fast food chains' food
HONG SOUND
414K views
9 months ago
The Perfect Birthday Present
고기남자 MeatMan
1.8M views
1 month ago
괴생명체 키우기ㅋㅋㅋㅋ 너무 꿀잼이라 편집한게 2시간;;
우주하마
1.3M views
2 weeks ago
24:57
감종국
런닝맨 - 스브스 공식 채널
1.1M views
5 days ago
New
16:46
[극찬] ""망하면 손해배상 하겠다"" 백종원이 각서 쓴 돈가스집! 《백종원의 골목식당 / 화제의 모먼트 / 스브스캐치》
SBS Catch
18M views
1 year ago
7:05
[Jjaltoon Original] Naengmyeon (feat. John Park)
짤툰
1.8M views
6 days ago
New
16:05
64 interesting ways to cook ramen - A video for changing your ramen life
칩chip
21M views
1 year ago
13:07
치킨월드컵 실사판🍗 - 치킨 브랜드별 최강자 먹방 리뷰🧐
미선임파서블 MISUN:IMPOSSIBLE
321K views
1 month ago
2:23:30
[어디선가 들어본 노래 Playlist] 제목은 모르더라도, 한때 지겹도록 들었던
하루의 안식처_HAAN
3.2M views
5 months ago
14:43
★Pepper and garlic chicken★ Unbelievable! Paik's Beer business secret is revealed!
백종원의 요리비책 Paik's Cuisine
1.9M views
10 months ago
11:14
순살치킨 가장 맛있는 브랜드는?? 푸라닭 교촌 BBQ 굽네 비교리뷰
맛상무
177K views
2 months ago
10:17
(Congrats) Reached 5 million views, and invaded another fried chicken company [Nego King] Special ep
달라스튜디오
4.1M views
1 month ago
30:06
[백종원의 골목식당] '백종원 무장해제시킨 도봉구 창동 골목 닭강정집!' / 'Backstreet' Special | SBS NOW
SBS NOW / SBS 공식 채널
1.6M views
2 months ago
15:56
🤣진짜 바보들만 모였다ㅋㅋ 어몽어스에 바보들만 모이면 생기는일 개웃김 【어몽어스】
군림보
800K views
6 days ago
New
16:31
Enjoy crispy chicken steak with a special sauce with your family! ㅣ Paik Jong Won's Cookinglog
백종원의 요리비책 Paik's Cuisine
2.5M views
1 year ago
26:59
My original staff meal recipe that was super popular during my Michelin restaurant experience.
아미요 Amiyo
782K views
1 year ago
10:01
치킨을 파는 최고의 피시방을 가봤습니다ㅋㅋㅋㅋㅋ
김재원의 즐거운 세상
1.5M views
1 year ago
11:28
*[홀남매] 홍세림이 다이어트를 한다기에......
홀남매holnammae
297K views
6 months ago
12:48
(Eng Sub) BHC Spicy Fried Chicken and Fried Chicken Real Sound Eating Show ASMR MUKBANG
HONG SOUND
662K views
6 months ago
SHOW MORE
217 Comments
SORT BY
Add a public comment...
Pinned by 앙 작비띠
앙 작비띠
1 year ago
현재 이런식으로 조치가 됐다고하네요 홍사운드님 감사합니다 !! >> https://www.youtube.com/watch?v=lghtqHMngBo
372
REPLY
View 5 replies
닭갈비TV
1 year ago
역시 치킨에는 세상 진지한 우리 작비형
808
REPLY
View 6 replies
이민성
1 year ago (edited)
BBQ 손절 운동에 참여하실분
⬇️
618
REPLY
View 2 replies
도현
1 year ago
뭐야 저건 그냥 텐더잖아.. 그럼 신메뉴랍시고 18000원짜리 20000원에 2천원 더 주고 사먹는 거랑 다를게 뭐야;-;
238
REPLY
Heum
1 year ago
상식적으로 이런 상황이면 전국 지점에 황금올리브 순살 메뉴를 내리라고 말해야 되는거 아닌가? 놀랍다 bbq
95
REPLY
룰루랄라
1 year ago
와 그 난리 났는데 아직 조취 안취한거? 비비큐 제정신인건가 이쯤이면 지점 문제가 아니라 본사 자체가 관리를 안하고 있다는건데
126
REPLY
믿음
1 year ago
댓글에 몇몇댓글 아무렇지 않은척 선동하네 댓글알바 티나서 겁나웃긴다ㅋㅋㅋㅋㅋㅋㅋ
진짜 안되겠네ㅋㅋㅋㅋㅋ
128
REPLY
icandoit yct
1 year ago
텐더를 반으로 잘라서 튀긴 후 이만원받기 ㅋㅋㅋㅋ진짜 너무하다 
순살이라면서 뻑뻑살만 가득
137
REPLY
후니후니용
1 year ago
형 2000원이 아니라 20000원을 손해본거야..
134
REPLY
에드가 Edgar
1 year ago
비비큐 이렇게 그냥 넘어가면 나중에 다 돌아갈텐데...
161
REPLY
둥둥이R.I.P
1 year ago
작비가 얼마나 맛없으면 양념을 안먹을까 bbq 망했네
104
REPLY
무웅탁
1 year ago
개인적으로 BBQ 왜시켜먹는지 모르겠음..
그렇게 뒤통수를 갈겨댔는데 먹고싶나...
81
REPLY
채민아
1 year ago
다들 궁금하다고 시켜보지 마시고 불매합시다
28
REPLY
서유란
1 year ago (edited)
님들 저거 보다 하림에서 파는 11000원 짜리 치킨텐더가 훨씬 맛있음 +추가로 치즐링순살도 저텐더에 가루만 뿌려서 나옴
70
REPLY
View reply
앙 작비띠
1 year ago (edited)
오늘 영상은 많이 이슈가 되고있는 소재라서, 많이 조심스럽지만 그래도 제 의견을 반영해봤습니다! 
무슨상황이신지 모를분들을 위해 자세한설명을 못해드린점은 죄송합니다.
자세한 내용은 네이버 혹은 홍사운드님의 영상을 보시면 될거같습니다!   영상 보러와주셔서 감사합니다.
104
REPLY
View 9 replies
구독안하면 새벽3시에 찾아옴
1 year ago (edited)
저진지한 영상을 찍기위해 치킨을 시키고 찍은후엔 다 드셨을듯.....
148
REPLY
View 10 replies from 앙 작비띠 and others
스파이디
1 year ago
무슨일인지부터 설명을 먼저 해주시지...
5
REPLY
View reply from 앙 작비띠
강경태
1 year ago
아니 유튜브랑 본사에서도 사과하고 난리인데  아직도 지점에서 저러고있네.....
44
REPLY
Yy ss
1 year ago
우리작비형 진짜간만에왔는데 여전히 방송잘하네 처음부터봤는데 응원할게
2
REPLY
Perfect Smoked
1 year ago
Keep up the awesome job !! Lovin' it!
6
REPLY
White Maple
1 year ago
텐더 잘라놓은 생김새임...
3
REPLY
투명댓으로 구독자400명찍기
1 year ago
순살이랑 속안심 비교 해주시징..
29
REPLY
View reply
은우김
1 year ago
그래서 나 문상은 언제 보내줍니까..
먗달전에 당첨됬는데
13
REPLY
View 2 replies from 앙 작비띠 and others
워드히어로부계정
1 year ago
와 양심이 어띠가셨지...
2
REPLY
김보성
1 year ago
bbq에는 이슈가 너무 많이 이슈
18
REPLY
anne
1 year ago
치킨이 출시되면 ... 보통 사진하고 똑같지는 않아도 얼추 모양이 비슷해야 하지 않나?
마음이 급해서 사진부터 내놓고 미처 준비도 안해놓고 가맹점에서 팔게 한거 아닌가?? 저기에 순살이 몇프로고 안심이 몇프로를 떠나서 넘 다르잖아 
사먹은 사람은 뭐가되고 ...본사에서 주는데로 파는 사람들은 뭐가 되는거야...저건 직원,가맹점 교육 문제가 아니잖아  진짜 화나네
27
REPLY
네?네
1 year ago
비비큐가 뭐라 대책을 말했는데...
Read more
34
REPLY
View 2 replies
전생했더니 빡빡이였던것
1 year ago
주건작이여서 쭐여서 주작이여서
2
REPLY
dhqhrd l
1 year ago
나 같으면..일단주면머금^^
3
REPLY
남연주
1 year ago
형 하트고파
3
REPLY
과금
1 year ago
이거 너무한거 아니냐고!
너무 배고프자너!
1
REPLY
나무딸기
1 year ago
사과를 해도 쳐 이렇게 파네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미친 새끼들 점주만의 탓인가? 그건 아니였어
12
REPLY
ᄅᄋヲヲ
1 year ago
진지하다며 평소보다 더 웃겨 ㅋㅋ
1
REPLY
댓글러프로
1 year ago
흐어엉ㅠㅠ
1
REPLY
당신은곰돌이#
1 year ago
너무한거 같네요 사기나 치고 ㅠㅠ 내돈 
(cheonsh2550@naver.com)
1
REPLY
아이
1 year ago (edited)
형이 음식에 진지하다는 것은..얼마나 심각한거야?
(juna040803@naver.com)
2
REPLY
강민혁
1 year ago
진지한영상 붙여서 안 진지한듯
REPLY
에엥에
1 year ago
1등으로 좋아요 달았다!!!!!!!!!!!!!!
(junmo8171@naver.com)
REPLY
푸핫
1 year ago
마시께따ㅠㅠ 작비님 저도 주세요요요오ㅗ우ㅠㅠ
REPLY
가그린
1 year ago
먹방이 진지할수더 있지 ㅋㅋ
1
REPLY
내가 햄뽀다hamppo
1 year ago
진지하게하니까 보기 편하구 재미있어요
재밌게보면 안되는데😭😭,.
8
REPLY
김예준
1 year ago
ㅎ  작비형 귀여워
REPLY
RGaming메리
1 year ago
진접에 아주 맛있는 숨겨진 맛집이 있습니다. 평점도 좋고 리뷰도 좋습니다. -수제안심치킨-입니다
맛 평가 부탁두려용~~^~^
REPLY
안규영
1 year ago
아 맜있겠다 쩝....
1
REPLY
박민수
1 year ago
아직개선이안됐네여 언제쯤개선이될까요??
(msperk8@naver.com)
REPLY
없네어이가
1 year ago
응 BBQ 안사먹어^^ 졷같은것들아
1
REPLY
[헬스창고] 헬창TV / Korean Fitness Garage
1 year ago
아.. 먹고싶다 ㅠㅠ 역시 치킨 리뷰하면 작비지! ㅋㅋㅋ
24
REPLY
View reply
뮈뮈
1 year ago (edited)
ㄷㄷ작비의 황금올리브
REPLY
김민영
1 year ago
티테네넴ㅂ
REPLY
정준혁
1 year ago
작하
1
REPLY
엑시아
1 year ago
작하
1
REPLY
쌈무요정
1 year ago
넌 머야;;;
Read more
REPLY
문정남
1 year ago
형....그거 1만7천원으로바꼈는데
REPLY
4ck 공주님 h
1 year ago
형 하이
REPLY
신현호
1 year ago
치킨에 진지해지는 작비 그는 치킨책
REPLY
이해성
1 year ago
안타까운게 아니라 실망스러운거지...
1
REPLY
사탕조아
1 year ago
와울
REPLY
로히어
1 year ago
오늘 저녁 치킨 먹었는데
REPLY
만만이
1 year ago
탠더를 1개 시키지....
9
REPLY
View reply
앙기무
1 year ago
맛있겟다 츄릅
REPLY
닉네임
1 year ago
솔까 사기임
1
REPLY
남연주
1 year ago
작비님 사랑해요
1
REPLY
가그린
1 year ago
근데 치킨은 언제나 맛있어
REPLY
임규정
1 year ago (edited)
형나일찍왔으니까하트좀
1
REPLY
박정훈
1 year ago
ㄴㅊㄴ
REPLY
마피아96
1 year ago
형나 늦게왔으니까  하트좀  따랑해~♡  )죄송합니다 (
REPLY
히유
1 year ago
ㅎㅎ
REPLY
강남훈
1 year ago
무슨 일이에요?
REPLY
게임무한
1 year ago
1등 ㅎㅎ
REPLY
경규택
1 year ago
BBQ다음주에 정식 출시한대요
REPLY
롤창냄새
1 year ago
비비큐 신작 출시 말하면 무조껀 쫌 있다가 후기보고 먹어야겠네
9
REPLY
참수마렵네
1 year ago
처갓집 슈프림양념 치킨 먹어주세요
1
REPLY
투언이
1 year ago
형 bbq순살 사기라네 철자법이 틀릴치 모르지만 형 알고있어요~~
REPLY
키건
1 year ago
비비큐 황올은 그냥 닭다리로 다 달라는게 순살보다 나은것같아요
REPLY
1
1 year ago
형 치킨먹고싶어
REPLY
그르갓Grgod
1 year ago
치킨=고기=돼지=작비
(4k2068@gmail.com)
REPLY
-핑가tv
1 year ago
거사기에요
REPLY
게임무한
1 year ago
작비님 맛있어요? 🐷🐷🐷🐷🐷
REPLY
너를 알았고 너를 앓았다
1 year ago
황금올리브 그 특유의 맛은 나나요??
REPLY
최연우
1 year ago
그걸로 ASMR해보세요
개굴쨈일듯
REPLY
부처님
1 year ago (edited)
결론 작비는 치킨은 왠만해선 다 좋아한다
REPLY
이예준
1 year ago
음식먹을때만 진지한 작비씨
REPLY
광대바지
1 year ago
작비 개잘생겼네 사랑해
REPLY
오수민
1 year ago
배댓되는 빙법이뭐죠?
REPLY
상추맛우유
1 year ago
어쨌든 드실거면서 .. ㅎㅎ
5
REPLY
벌서
1 year ago
다먹고 모자랐죠?
1
REPLY
김규민
1 year ago
작비 얼굴 내얼굴
REPLY
규빈
1 year ago
나고정좀해줘
1
REPLY
지벤
1 year ago
내가 첫번짼데 작비 댓글 한개도업네
REPLY
이동준
1 year ago
형 나언재쯤 문상 받아?
(01082242120dj@gmail.com)
REPLY
잠만보
1 year ago
살뺀거 같드앙
6
REPLY
View 2 replies from 앙 작비띠 and others
크리스탈
1 year ago
100빠
1
REPLY
View reply
정다훈
1 year ago
안녕하세요
Read more
REPLY
김정은
1 year ago
2만원이상이면 족발 먹는게 이득
7
REPLY
장우진
1 year ago
근데 왜 논란임?
REPLY
러쉰
1 year ago
돼지샊이
REPLY
오리맨Duck boy
1 year ago
안녕하세요
1
REPLY
네이처그린
1 year ago
BBQ : 어차피 대중들은 개돼지입니다. 그 뭐 하러 개돼지들한테 신경을 쓰시고 그러십니까? 적당히 짖어대다가 알아서 조용해질 겁니다.
28
REPLY
View 3 replies
쇼미다시보기 제작소
1 year ago
진지남 작비
REPLY
아름다운상순이야기
1 year ago
아싸나1빠
4
REPLY
김민기
1 year ago
작비형 살좀 빠진거같은데?!
REPLY
카베스
1 year ago
지구젤리에 주사기로 캡사이신 넣어서 지미한테 먹여주세여
REPLY
ᄀᄀ
1 year ago
형 치킨먹을려고 찍은거는 아니겠지
REPLY
liik ꙰
1 year ago
근데 또 비비큐 치킨이 바삭함은 시간 지나도 유지해줌 
Read more
REPLY
김서
1 year ago
머때문인데그래서
REPLY
김민재
1 year ago
1빠
1
REPLY
김미미
1 year ago
비비큐 계속사기를 치는구나
REPLY
노이어
1 year ago
얼굴이 크래미처럼 생깃노
1
REPLY
View reply from 앙 작비띠
문정현
1 year ago
ㅇ
REPLY
왼손오른손
1 year ago
ㅇ
REPLY
o san
1 year ago
형 하트 좀 주라♥
1
REPLY
ᄐᄐᄐ
1 year ago
작비는 진지하거나 대충하거나 일단 먹음
REPLY
동영상플레이어
1 year ago
0:00 ●──────────── 5:23 ⇆ㅤㅤㅤㅤ◁ㅤㅤ❚❚ㅤㅤ▷ㅤㅤㅤㅤ↻
2
REPLY
ᄀᄃᄀ
1 year ago (edited)
치킨 맛있쪙
5
REPLY
참참참
1 year ago
작비는 편식을 안한다=뭐든지 먹는다
REPLY
숨은천사
1 year ago
1빠
1
REPLY
이수민
1 year ago
1빠
1
REPLY
사람
1 year ago
작비는 그냥제미있음
REPLY
김민건
1 year ago
아 베댓먹어야하는데 댓글이 생각이 안나!!!!!!!
18
REPLY
View 2 replies
펭귄 TV
1 year ago
홍사운드 내가봄
REPLY
1 1
1 year ago
그냥 치킨을 먹고 싶어서 시킨것도 있을듯..
4
REPLY
할거없는중3
1 year ago
형
REPLY
오메가오소리
1 year ago
작비다
REPLY
View reply
보건교사아는형
1 year ago
돼----------지
5
REPLY
분노조절불가능
1 year ago
퍽퍽하면 노맛인데
(dlwnsdn0218@naver.com)
1
REPLY
엘레인스
1 year ago
BBQ 쓸데없이 신제품 나온적 없다고 추하게 발악하더니 결국 사과하네;; 18000원 짜리 텐더 20000원 주고 사먹은 사람한테 배상은 안해주냐?
REPLY
경규택
1 year ago
1빠
REPLY
View reply
달고나커피는달구나
1 year ago
죄송하지만 무슨 이슈인지..?
1
REPLY
강신아
1 year ago
+1.5kg
REPLY
근본실종
1 year ago
순살있는데 사기치는 지점이있어요
3
REPLY
SKY Y-
1 year ago
궁금하다 핑계치고 쳐먹는 작비
REPLY
신민규
1 year ago
ㅡ
REPLY
민준
1 year ago
굽네치킨 미만잡
2
REPLY
루루
1 year ago
비비큐는 그냥 돈버리려고 시키는 치킨 아니었냐?
3
REPLY
무링
1 year ago (edited)
음....작비님도 찍군요
잘 보고 갑니다
1
REPLY
장우진
1 year ago
0:52 지미님, 왜 제가 할 말을 가로채시죠??!
Read more
1
REPLY
오태권
1 year ago
저거텐더 맞음  근데이름만 밖꾸고    가격만올린거임
2
REPLY
하퍼
1 year ago
2
REPLY
pit scammer
1 year ago
Diet Bruh
REPLY
왜저래
1 year ago
아니 1등이 몇명이야...
2
REPLY
승우홍
1 year ago
1
REPLY
뿌우웅
1 year ago
1
REPLY
왼손오른손
1 year ago
1
REPLY
윤주안
1 year ago
1
REPLY
slep t
1 year ago
1
REPLY
View reply
hs I
1 year ago
1
REPLY
View reply
신우진
1 year ago
오우 작비님 대단이 사기먹으셨네요
1
REPLY
박민서
1 year ago
형 살뺄맘 없지 나는 알아 (^^)
REPLY
태준김
1 year ago
1
1
REPLY
View reply
마이무
1 year ago
그냥 치킨 먹고싶어서 시킨거잖아
2
REPLY
daniel
1 year ago
비비큐 회장이 미국에 자식한테 회삿돈을..
또 일본우익단체랑 응응
2
REPLY
펭귄 TV
1 year ago
이거 텐더로 만든거임
1
REPLY
웅앵잉
1 year ago
Oh
1
REPLY
박성원
1 year ago
이걸 또 우려먹는다라
REPLY
섬권
1 year ago
형 그거 텐더야
REPLY
김세호
1 year ago
나 같으면 그냥 순살크래커 시켜먹었음 그것도 맛있더라
REPLY
성환TV겜
1 year ago
1
REPLY
경규택
1 year ago
와 미친 저 주작충들
REPLY
독도는 한국땅
1 year ago (edited)
님들아 빠놀이 작작좀;;
REPLY
의리왕의리왕
1 year ago
비비큐는 갓이다
REPLY"
1,
2,"광고문의 및 출연 섭외 문의는 : jakb51@naver.com
인스타 팔로우하시면 맞팔 ! : jak_b_


----------------------------------------­­-----------
COPYRIGHT ⓒ 2019 JAKB ALL RIGHTS RESERVED.
----------------------------------------­­-----------"
3,현재 이런식으로 조치가 됐다고하네요 홍사운드님 감사합니다 !! >> https://www.youtube.com/watch?v=lghtqHMngBo
4,역시 치킨에는 세상 진지한 우리 작비형
5,"BBQ 손절 운동에 참여하실분
⬇️"
6,뭐야 저건 그냥 텐더잖아.. 그럼 신메뉴랍시고 18000원짜리 20000원에 2천원 더 주고 사먹는 거랑 다를게 뭐야;-;
7,상식적으로 이런 상황이면 전국 지점에 황금올리브 순살 메뉴를 내리라고 말해야 되는거 아닌가? 놀랍다 bbq
8,와 그 난리 났는데 아직 조취 안취한거? 비비큐 제정신인건가 이쯤이면 지점 문제가 아니라 본사 자체가 관리를 안하고 있다는건데
9,"댓글에 몇몇댓글 아무렇지 않은척 선동하네 댓글알바 티나서 겁나웃긴다ㅋㅋㅋㅋㅋㅋㅋ
진짜 안되겠네ㅋㅋㅋㅋㅋ"
