,comment
0,"SKIP NAVIGATION
SIGN IN
Get Hulu
hulu.com
Watch Now
Ad 2 of 2 ·
0:00
hulu.com
Skip Ad

#BBQ #황금올리브순살 #BBQ황금올리브순살
BBQ 황금올리브 순살 사기? 순살과 속안심살 둘 다 시켜보았습니다!
26,913 views•Jul 13, 2019
175
146
SHARE
SAVE
메리유 [MERRY YOO TV]
SUBSCRIBE
논란이 되고 있는 BBQ 황금올리브 ""순살""과 
일부 매장에서 그 제품으로 속여서
판매되고 있다는 황금올리브 ""속안심"" 
두 가지 메뉴를 시켜서 제대로 비교해보았습니다.
저도 제가 사기당했다는 여러분들의
많은 댓글을 보고 계속 마음이 찜찜했는데
이 영상을 보고 여러분도 궁금하신 부분이
조금이나마 풀리시길 바랍니다!
제 영상이 더 궁금하시다면 좋아요와 구독 꾹꾹 ♥_♥
.
.
.
.
.
각종문의는 merryeeyoo@naver.com 로 연락주세요 :)
SHOW MORE
Get Hulu
Ad
hulu.com
WATCH NOW
Up next
AUTOPLAY
14:55
Yokji Island 9
tzuyang쯔양
1.4M views
2 days ago
New
1:09:45
수능 영어 단어 암기 (필수 수능 영단어 PART 1) | 수면암기법, 영어수면학습 (영단어 자면서 쉽게 외우자!)
메리유 [MERRY YOO TV]
3.5K views
4 months ago
Chicken Deopbap that is served at Restaurants! You'll be surprised
백종원의 요리비책 Paik's Cuisine
691K views
4 months ago
브리스킷은 사드세요.....제발
승우아빠
931K views
23 hours ago
New
밍소의 우당탕탕 첫 실시간 LIVE 파리크라상 조각 케이크 디저트 먹방 Mukbang EATING SHOW
밍소 Mingso Eating Show
140 watching
LIVE NOW
11:51
""Cream Pasta"" at Home? Easy!
백종원의 요리비책 Paik's Cuisine
1.7M views
1 month ago
18:22
ASIAN AT HOME  S8 • E18
Spicy and Creamy Chicken Ramen!
Seonkyoung Longest
1.9M views
2 years ago
13:06
Puradak boneless black mayo chicken,Korean mukbang,ASMR
데일TV eat with dale [ASMR]
1K views
2 days ago
New
14:00
Team Dip or Team Pour. Tangsuyuk is always right! Crispy and crunchy! ㅣ Paik's Cooking Log
백종원의 요리비책 Paik's Cuisine
1.1M views
9 months ago
14:46
The recipe for snow crab ramyun on 'SBS Delicious Rendezvous' is here! ㅣ Paik's Cooking Log
백종원의 요리비책 Paik's Cuisine
1.3M views
10 months ago
10:29
Thai-style spinach and meat deopbap! Invite your friends!
백종원의 요리비책 Paik's Cuisine
523K views
7 months ago
57:06
BBQ Gold chicken and Shinjeon TTeokboggi Mukbang 190613
입짧은햇님
362K views
1 year ago
14:49
Met and Negotiated with the Cosmetics King [Nego King] Ep.11
달라스튜디오
2.9M views
4 days ago
New
8:48
Kang's Kitchen 2 hit menu! Kimchi rice (Kimchi bap) is P.O ㅣ Paik Jong Won's Paik Jong Won Recipe
백종원의 요리비책 Paik's Cuisine
6.4M views
1 year ago
16:03
Yokji Island 8
tzuyang쯔양
2M views
4 days ago
New
(실시간) 이탈리아 친구랑 함께 먹방하는 한국 음식
레만 Reman [로마사는 한국남자]
328 watching
LIVE NOW
12:58
Korean Fried Chicken, Fried and Seasoned! Seasoned fried chicken originates from Korea!
백종원의 요리비책 Paik's Cuisine
1.6M views
11 months ago
16:33
Living in the French Countryside - Eurasia【108】
빠니보틀 Pani Bottle
684K views
9 months ago
13:26
Making 5 basic menu items of cafe [Americao, Ice Latte, Vanilla latte, Cafémoca, Caramel macchiato]
커픽처스 coffictures
628K views
1 year ago
19:33
(ENG) 왕초보를 위한 기초요리 시리즈 1 / 밥짓기 & 영양밥짓기 / White Rice & Nutritious Mixed Rice
노영희의 철든 부엌, YoungHee's Kitchen
13K views
1 month ago
SHOW MORE
126 Comments
SORT BY
Add a public comment...
Pinned by 메리유 [MERRY YOO TV]
메리유 [MERRY YOO TV]
1 year ago (edited)
영상을 “제대로”보신 분은 아시겠지만 영상에
어떤 부분도 비비큐를 옹호하거나
비판하는 스탠스는 없습니다.
저는 그냥 원래 제 영상 컨셉인 “솔직하게”
Read more
35
REPLY
View 2 replies
Oreo과자
1 year ago
이분만 진짜네. 다른 리뷰들은 다 사기,,문제는 그 지점만 문제인줄 알았더니 다른 지점들도 마찬가지고 영업과장에게도 그렇게 얘기하라고 시켰을테고..
44
REPLY
View 7 replies from 메리유 [MERRY YOO TV] and others
지훈의모든것
1 year ago
얼마전에 다른분 사기당한영상 봤는데 두개 놓고보니 확실히 다른 제품이네요ㅎㅎㅎ앞으로 시킬때 확인해보고 시켜야 겠네요~~👍👍
4
REPLY
kang e
1 year ago
두가지 다른제품을 각각 다른장소로 시켰으면 더 객관적이었겠네요 이슈가 되고있는 사기를 친다 같은제품을 속여판다 등을 구분해보려면 한 주소에 두가지다른 제품을 시키면 당연히 다른것이 와서 비교는 가능해도 속여파는것은 알기쉽지않겠죠
3
REPLY
J-N ASMR
1 year ago
Wow those look really good and sounds so good too!
1
REPLY
뽀시래기TV힐링캠핑
1 year ago
요새 비비큐 신메뉴가 이슈인가봐용.. 사기치는 매장도 있었다구 하던데..
메리유님이 비교를 해주시니 차이가 나네용 ㅋ리뷰 잘 보고 갑니다~^^
2
REPLY
NANA YOON
1 year ago
저는 그냥 안시키는게 답인거 같지만 님말처럼 이미 시킨분들이 다 꼭 돈 돌려받기를!! 비비큐...
11
REPLY
View reply from 메리유 [MERRY YOO TV]
뀨뀨
1 year ago (edited)
근데 언뜻보면 착각할만큼 비슷하게 생겼네요.. 광고할때 사진으로 사기치는것도 적당히해야지ㅋㅋ 광고사진은 거의 완자수준으로 동그랗더만.. 그리고 솔직히 순살에 뻑살이 많아서 속안심이랑 맛도 차이 없어보이고.. 유튜버님 물들어올때 노 잘저으셨네요 승승장구하세요ㅋㅋ 예쁘고 목소리도좋으세요
19
REPLY
View reply from 메리유 [MERRY YOO TV]
컵버터
1 year ago
4:36 졸귀네용 ㅋㅋ
2
REPLY
네이처그린
1 year ago
진심 BBQ는 믿고 걸러야 합니다. 아직도 BBQ먹는 흑우 없제?
61
REPLY
View 6 replies
롯데케미칼
1 year ago
에초에 순살자체도 사진처럼 안생긴듯..
3
REPLY
몽글몽글
1 year ago
(^・ω・^ )💖 꺄아아아아
1
REPLY
Cindy Eats ASMR신디
1 year ago
제대로 비교 후기네요~  영상 완전 잘봤어요👍👍
8
REPLY
ASMR Mukzzi먹찌
1 year ago
둘다 비슷한데 다르네영ㅎㅎㅎㅎ 역시 솔직한 리뷰👍👍👍
1
REPLY
lois Lois
1 year ago
Wow good good 👍
REPLY
asmr snaks
1 year ago
Your so cute!!!!!!!!!
REPLY
빛나는오늘_Onel
1 year ago
솔직한 리뷰 감사합니다!👍🏻👍🏻
REPLY
Real생활요리cook맘
1 year ago
오늘왜케이뻐요^^💕엄청바싹바싹하긴하네요~ 순살은 가슴살/닭다리살이 섞여있네용ㅎ!안심이부드럽긴하죠^^맥주땡기네용 리뷰잘보고가요^^
REPLY
패션가면
1 year ago (edited)
손가락 제스쳐 ㅋㅋㅋ 귀여우세요
1
REPLY
레이얼리
1 year ago
유튜브 잘보고 있습니당~ 응원합니당
REPLY
빵블리
1 year ago
마지막 빠잉 너무 커여워요 ㅠㅠ BBQ는 안 먹지만 비교 잘 보고가용!
3
REPLY
View reply from 메리유 [MERRY YOO TV]
dal dalgom
1 year ago
잘봤습니다:)
REPLY
Louis Saint.
1 year ago
눈팅만하다가 구독 눌러요ㅎ 댓글도 처음 달아보네용 구독자 130명인가 그때 알았는데 어느새 800명이네요 화이팅!!!!
REPLY
Lidaa Licious
1 year ago
Nice crunch 😊
REPLY
김영경
1 year ago
메리유 씨 앙넝 오늘 치킨 먹었네용 바삭 바삭하게 맛있게 드시는 게 기분이 좋아졌네용❤️❤️
느낌:너무 귀여워따👀👀
1
REPLY
View reply from 메리유 [MERRY YOO TV]
News event 뉴스이벤트
1 year ago
진심이 느껴지네요..감사합니다 🐔
REPLY
로맥스MAX
1 year ago
닭은 뭘먹어도 맛있는듯 좋은 정보 감사합니다 ㅎㅎ
소통하며 응원드려요~~3꾹
REPLY
s sz
1 year ago
소진닮으셨네
2
REPLY
TIIF - 함께하는 IT
1 year ago
이쁜 메리유님 화이팅입니다!~
REPLY
곽영범
1 year ago
이 영상을 계기로 떡상하는 유튭이 되길
1
REPLY
아빠
1 year ago
제품이 잘 못 되었어요
닭가슴살이 들어간 퍽퍽한 치킨
순살이 아닙니다
3
REPLY
이설
1 year ago
저.. 순살시켰는대 안심왔어요 ㅠ
2
REPLY
View reply from 메리유 [MERRY YOO TV]
달콤한 설탕씨
1 year ago
요즘 황금올리브순살때문에말이 많은거같아요. 앞으로는사기당하시는분들이 없으셨으면...ㅠ.ㅠ
1
REPLY
문준영
1 year ago
뭐가 다르냐 ㅋㅋ그냥텐더 반 잘라서 튀기면 뭐가 틀려 ㅋㅋㅋㅋㅋㅋㅋㅋ
REPLY
밤딩
1 year ago
본사 대처후 시킨거자나
그전에 비교했어야맞는거지
순서가 틀린거같네
23
REPLY
View reply
황재현
1 year ago
먹는게 ㄹㅇ 악어 같이 먹는다 ㅋㅋ
1
REPLY
aa a
1 year ago
정말 오른쪽이 더 맛있어 보이네요
가격도 순살보다 저렴하니 담엔 속안심으로^^
글구 넘 귀여워요 4:40 ㅎㅎ
1
REPLY
View reply from 메리유 [MERRY YOO TV]
문재인
1 year ago
3빠
1
REPLY
김태연
1 year ago
구독했어요 치킨주세요
REPLY
스킨케어
1 year ago
현실적인 미인이라 구독
1
REPLY
대충한끼 simple cook
1 year ago
비비큐는 거의 안시켜먹기는하지만 솔직리뷰 잘 참고할게요💓💓💓
REPLY
케이애교젬
1 year ago
다행히 우리 소중한 우리 메리유님께서는 당하지 않으시고 리얼 확실하게 리뷰해주셔서 더욱 믿음을 가지고 신뢰하며 볼 수 있는 우리 메리유님의 영상들 이런 좋은영상이 다른사람들에게 널리 전파되어 성장하시고 초심을 유지하시는 메리유님이 되시기만을 바랍니다 항상 사랑하고 응원합니다
1
REPLY
View reply from 메리유 [MERRY YOO TV]
김정은
1 year ago
이거 bbq 영상올리면 알반지 뭔지 물타기 테러댓글들 많더군요. 어이없어서 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8
REPLY
View reply from 메리유 [MERRY YOO TV]
구문성
1 year ago
치킨 궁금해왓다가 너무이쁘셔서 구독하고갑니다 ㅋㅋ 정말 이쁘시네요 ㅋㅋ
REPLY
뿌빛왕
1 year ago
믿거 ... 속안심이 더 맛잇다니?!
REPLY
박찬우
7 months ago
이쁜 교회 누나같다
REPLY
Life The
1 year ago
황올 뼈랑 순살 중엔 뭐가 더 낫나여
REPLY
뀰루베리
1 year ago
보는데 왤케 구분이안가냐...
REPLY
리치와 산책
1 year ago
음..요즘 비비큐가 논란이 되고있군요 ㅠㅠ
늘 잘 시켜먹었었는데.. 이런일이 있었다니!!
메리유님 자세하게 설명해주셔서 비교가 확실히 되네요^^
REPLY
icandoit yct
1 year ago
치킨텐더를 반으로 잘라 튀기면
순살아닌가요? ㅎㅎㅎ
도대체 왜 3000원 차이가 나는지 
모르겠네요
9
REPLY
View 2 replies
찰진고양이
1 year ago
근데 뭐가 됬든 치킨 둘다 맛나보이긴 하네요 ㅋ
REPLY
마늘
1 year ago
이쁘다...
5
REPLY
View reply from 메리유 [MERRY YOO TV]
Steave Kim
1 year ago
비비큐는 옛날부터 닭가슴살 참 잘 정리하는듯
REPLY
겨울
1 year ago
주둥이가 긴걸 보아하니 돈 받았구나
REPLY
Thủy miền tây
1 year ago
hi good sharing video thank you very much
REPLY
Muse-ong Son
1 year ago
전단지 사진이랑 실제랑 모양이 완전 달라요. 사기 맞아요.
REPLY
서프랑키
1 year ago
예쁘게 먹기 실패!
4
REPLY
View reply from 메리유 [MERRY YOO TV]
나라
1 year ago
아직 비비큐 시켜먹는 흑우 없제??
REPLY
지선우
10 months ago
인기비제이 고말숙님과 많이 닮으셨네요
REPLY
미니유리 TV [MiniYuri TV]
1 year ago
요즘논란이 된 애들이군요  두개가차이가 있긴 있네요  비교  감사합니다
REPLY
조조조오
1 year ago
사기꾼들 불매해야하는 판에 ㅋㅋ
사서 광고해주고있네
REPLY
PHI i
1 year ago (edited)
간만에 왔어요! 아직 안먹어봤는데 정직하게 주는 매장도 있네요😆 꺼려져서 안먹어보게 되었는데 한번 먹어봐야겠어요⭐️ 오늘도 컨디션 그럭저럭 나쁘진 않아 보이세요! 굿나잇🌙
1
REPLY
View reply from 메리유 [MERRY YOO TV]
K원 Lee
1 year ago
아오 개빡쳐~먹는거가지고 장난치는새끼들이 잘되는꼴은 못보지.
1
REPLY
힘차게
1 year ago
줄줄이 다 따라하네 좀 창작좀 해보시길
REPLY
심콩's Tasty Road
1 year ago
논란의 황금올리브순살과 황금올리브속안심살이네요👍👍이렇게 비교 영상 너무 좋아요❤😍속안심살은 길쭉길쭉 치킨텐더 같네요.! 비교영상 빠르게 찍어주셔서 재미있게 잘 보았어요😄👍👍
1
REPLY
위로위로나무
1 year ago
뭐를 잘못하신거같은데 BBQ는 사건이 커지고 순간 대비를 한겁니다.
네이버 리뷰나 배달 어플 리뷰 보시면 거의 대부분이 텐더로 왔더라구요 
그러니까 이런 영상 보기 불편합니다
11
REPLY
View reply
Park J.H
1 year ago
솔직히 순살치킨은 배달안시키고 
집에서 에어프라이어로 해먹는게 짱임
이곳저곳 다 시켜봐도 튀김옷, 고기종류 같은 게 너무 별로임
REPLY
켕켕켕켕
1 year ago
진짜 먹는거 안 좋아하게 생겼네
4
REPLY
View reply
제임스문
1 year ago
인형이 말을하네♥
1
REPLY
Bad Day
1 year ago (edited)
한매장에서 두개를 한주소지로 시키면 설령 사기치려다가도 제대로 주겠다...개답답하네
13
REPLY
View 4 replies
༺!¡!༻
1 year ago
와 먹는데 3분걸려..ㅎ
1
REPLY
강꿀벌
1 year ago
에휴 한지점에서 시키면 뻔하지 생각좀..
2
REPLY
60- dream
1 year ago
유튜버들 왜자꾸 팩트정리 ㅇㅈㄹ하면서 시켜먹는거임??? 궁금하지도않을뿐더러ㅌㅋㅋㅋㅋ 같은매장에 비교한답시고 문제의 치킨 두개를 동시에 시켜대는데 ㅋㅋ이난리통이낫는데 진짜 미치지않은이상 이젠 제대로주겟지 그렇다해도 안시켜먹을거고 왜 개돼지같은 짓을 하고잇는거지 ?논란탑승 하지마시고 다른거리뷰하세요 비비큐는 좋겟네 사기를쳐도 유튜버들 땜에 안망하게생겻네~
4
REPLY
ZOOM IN ASMR
1 year ago
Lots of fried chicken, Merry. Give me some please..  Hihihihiii..  :D 
I just ate fried squids..  So full.. Hahahahhaa..
REPLY
산백
1 year ago (edited)
여기 유트브 구성을 잘못함.
이미 다른 유트브 에서 직접 사기당해 뉴스 나 여러 유트버 에서 컨텐츠 삼아 올리는 경우 가 많지만
그래도 확실하게 사건 내용과  최초의 유트브 대해 소개 를 하면서 영상 편집 및 내용을 작성하는데.
Read more
6
REPLY
View 2 replies
임진성
1 year ago
이 채널 성장합니다
1
REPLY
네이처그린
1 year ago
BBQ직원들이 싫어요 40개 누르고 감.. 진심 소름돋는다 X발
8
REPLY
냥이
1 year ago
옹호가 문제가 아니라 ㅋㅋㅋ 대조해 보기 위해 비비큐를 소비하게 되는 건데 이게 문제예요
1
REPLY
황승욱
1 year ago
아 말많네요 빨리좀 먹지 ㅡㅡ
3
REPLY
dbqls135
1 year ago
먹을 때 너무 입 벌리고 한쪽으로 먹는거 되게 보기 싫네요,,, ^^;
11
REPLY
View 7 replies
이슬기
1 year ago
그래서 어쩌라고요 ? 당한사람들이있는데 그사람들 바보만드는거예요 ?
1
REPLY"
1,
2,"논란이 되고 있는 BBQ 황금올리브 ""순살""과 
일부 매장에서 그 제품으로 속여서
판매되고 있다는 황금올리브 ""속안심"" 
두 가지 메뉴를 시켜서 제대로 비교해보았습니다.
저도 제가 사기당했다는 여러분들의
많은 댓글을 보고 계속 마음이 찜찜했는데
이 영상을 보고 여러분도 궁금하신 부분이
조금이나마 풀리시길 바랍니다!
제 영상이 더 궁금하시다면 좋아요와 구독 꾹꾹 ♥_♥
.
.
.
.
.
각종문의는 merryeeyoo@naver.com 로 연락주세요 :)"
3,"영상을 “제대로”보신 분은 아시겠지만 영상에
어떤 부분도 비비큐를 옹호하거나
비판하는 스탠스는 없습니다.
저는 그냥 원래 제 영상 컨셉인 “솔직하게”"
4,"이분만 진짜네. 다른 리뷰들은 다 사기,,문제는 그 지점만 문제인줄 알았더니 다른 지점들도 마찬가지고 영업과장에게도 그렇게 얘기하라고 시켰을테고.."
5,얼마전에 다른분 사기당한영상 봤는데 두개 놓고보니 확실히 다른 제품이네요ㅎㅎㅎ앞으로 시킬때 확인해보고 시켜야 겠네요~~👍👍
6,두가지 다른제품을 각각 다른장소로 시켰으면 더 객관적이었겠네요 이슈가 되고있는 사기를 친다 같은제품을 속여판다 등을 구분해보려면 한 주소에 두가지다른 제품을 시키면 당연히 다른것이 와서 비교는 가능해도 속여파는것은 알기쉽지않겠죠
7,Wow those look really good and sounds so good too!
8,"요새 비비큐 신메뉴가 이슈인가봐용.. 사기치는 매장도 있었다구 하던데..
메리유님이 비교를 해주시니 차이가 나네용 ㅋ리뷰 잘 보고 갑니다~^^"
9,저는 그냥 안시키는게 답인거 같지만 님말처럼 이미 시킨분들이 다 꼭 돈 돌려받기를!! 비비큐...
